n2710db;とんでもスキルで異世界放浪メシ
n8611bv;ありふれた職業で世界最強
n3669fw;ヘルモード　～やり込み好きのゲーマーは廃設定の異世界で無双する～
n0611em;【アニメ放送中！】陰の実力者になりたくて！【web版】
n2267be;Ｒｅ：ゼロから始める異世界生活
n7787eq;魔導具師ダリヤはうつむかない
n8139dg;聖女の魔力は万能です
n3289ds;異世界のんびり農家
n9636x;薬屋のひとりごと
n8733gf;お気楽領主の楽しい領地防衛  〜生産系魔術で名もなき村を最強の城塞都市に〜
n5824ct;神達に拾われた男（改訂版）
n1784ga;【ルプなな5巻8月発売】ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する
n6169dz;シャングリラ・フロンティア〜クソゲーハンター、神ゲーに挑まんとす〜
n5375cy;転生して田舎でスローライフをおくりたい
n6475db;私、能力は平均値でって言ったよね！
n1314hd;魔術師クノンは見えている
n1976ey;俺は星間国家の悪徳領主！
n1785ek;ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで
n4936dp;転生貴族の異世界冒険録～自重を知らない神々の使徒～【アニメ化決定】
n7673ff;転生した大聖女は、聖女であることをひた隠す
n2377fh;最強出涸らし皇子の暗躍帝位争い～帝位に興味ないですが、死ぬのは嫌なので弟を皇帝にしようと思います～
n3976gk;世界最速のレベルアップ　～無能スキル【ダンジョン内転移】が覚醒した結果、俺だけダンジョンのルールに縛られず最強になった～
n6774eh;元・世界１位のサブキャラ育成日記 ～廃プレイヤー、異世界を攻略中！～
n1474fh;一億年ボタンを連打した俺は、気付いたら最強になっていた～落第剣士の学院無双～
n8465gx;大ハズレだと追放された転生重騎士はゲーム知識で無双する
n3009bk;盾の勇者の成り上がり
n4259s;異世界迷宮で奴隷ハーレムを
n6895gp;片田舎のおっさん、剣聖になる　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～
n4029bs;謙虚、堅実をモットーに生きております！
n1624fi;貴族転生～恵まれた生まれから最強の力を得る
n6537fu;俺は全てを【パリイ】する　〜逆勘違いの世界最強は冒険者になりたい〜
n5881cl;賢者の孫
n2031cu;異世界転移で女神様から祝福を！　～いえ、手持ちの異能があるので結構です～
n9418eg;モンスターがあふれる世界になったので、好きに生きたいと思います
n9584gd;【連載版】信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル９９９９の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！
n6006cw;転生したら剣でした
n4185ci;くまクマ熊ベアー
n8577dn;望まぬ不死の冒険者
n8829fs;没落予定の貴族だけど、暇だったから魔法を極めてみた
n3726bt;レジェンド
n8433eb;今度は絶対に邪魔しませんっ！
n8120gp;ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる　～ホワイトな宮廷で、幸せな新生活を始めます！～【Web版】
n6093en;嘆きの亡霊は引退したい　〜最弱ハンターは英雄の夢を見る〜【Web版】
n8515dc;アラフォー賢者の異世界生活日記
